SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
1104666,HDS,007783-06-4,,0,UNKNOWN AMOUNT,HYDROGEN SULFIDE,NO,,
1104666,NCC,000000-00-0,,0,UNKNOWN AMOUNT,LANDFILL GASES,NO,,
1104668,NCC,000000-00-0,,9216.07,POUND(S),NITROGEN OXIDE,NO,,
1104668,NCC,000000-00-0,,485.06,POUND(S),NITROGEN DIOXIDE,NO,,
1104668,NCC,000000-00-0,,4859.37,POUND(S),NITROGEN OXIDES,NO,,
1104668,ONG,000000-00-0,,26290,MIL CBF,NATURAL GAS,NO,,
1104669,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
1104670,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,NO,,
1104674,RAM,000000-00-0,,0,UNKNOWN AMOUNT,RADIOACTIVE MATERIAL,NO,,
1104675,NCC,000000-00-0,,0,UNKNOWN AMOUNT,PE20 SURFACTANT,NO,,
1104676,OIL,000000-00-0,,20,GALLON(S),OIL: CRUDE,YES,20,GALLON(S)
1104677,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),YES,0,UNKNOWN AMOUNT
1104678,NCC,000000-00-0,,10,POUND(S),GROUND  CLAY,NO,,
1104680,NCC,000000-00-0,,150000,GALLON(S),EMULSIFIED WASTE WATER,NO,,
1104681,OTD,000000-00-0,,100,GALLON(S),"OIL, FUEL: NO. 2-D",NO,,
1104682,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
1104683,SFD,000000-00-0,,500,POUND(S),SULFUR DIOXIDE,NO,,
1104684,ODS,000000-00-0,,10,GALLON(S),OIL: DIESEL,YES,10,GALLON(S)
1104685,OMN,000000-00-0,,20,GALLON(S),"OIL, MISC: MINERAL",YES,10,GALLON(S)
1104686,OIL,000000-00-0,,500,BARREL(S),OIL: CRUDE,NO,,
1104688,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",YES,0,UNKNOWN AMOUNT
1104689,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,UNKNOWN,0,UNKNOWN AMOUNT
1104691,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,UNKNOWN,0,UNKNOWN AMOUNT
1104692,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1104693,OOD,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 1-D",YES,0,UNKNOWN AMOUNT
1104694,ODS,000000-00-0,,45,GALLON(S),OIL: DIESEL,YES,0,UNKNOWN AMOUNT
1104695,RAM,000000-00-0,,277.5,GALLON(S),RADIOACTIVE MATERIAL,NO,,
1104696,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,NO,,
1104697,RAM,000000-00-0,,0,UNKNOWN AMOUNT,RADIOACTIVE MATERIAL,NO,,
1104698,NCC,000000-00-0,,0,UNKNOWN AMOUNT,ASBESTOS,NO,,
1104700,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
1104701,OIL,000000-00-0,,5,BARREL(S),OIL: CRUDE,NO,,
1104701,DZB,000000-00-0,,30,BARREL(S),DRILLING BRINE (WITH ZINC SALTS),NO,,
1104702,ODS,000000-00-0,,50,GALLON(S),OIL: DIESEL,NO,,
1104703,OIL,000000-00-0,,5,BARREL(S),OIL: CRUDE,NO,,
1104704,OTF,000000-00-0,,10,GALLON(S),"OIL, MISC: TRANSFORMER",YES,1,TEASPOON(S)
1104706,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
1104707,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
1104709,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
1104710,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),YES,0,UNKNOWN AMOUNT
1104712,OMT,000000-00-0,,300,GALLON(S),"OIL, MISC: MOTOR",NO,,
1104713,HDS,007783-06-4,,0,UNKNOWN AMOUNT,HYDROGEN SULFIDE,NO,,
1104713,MTH,000000-00-0,,0,UNKNOWN AMOUNT,METHANE,NO,,
1104713,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
1104714,GAS,000000-00-0,,250,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),UNKNOWN,250,GALLON(S)
1104716,PRP,000000-00-0,,0,UNKNOWN AMOUNT,PROPANE (UN 1075),NO,,
1104717,BNZ,000071-43-2,,0,UNKNOWN AMOUNT,BENZENE,NO,0,UNKNOWN AMOUNT
1104719,NCC,000000-00-0,,0,UNKNOWN AMOUNT,INDUSTRIAL FERTILIZER,NO,,
1104720,GAS,000000-00-0,,50,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,1,GALLON(S)
1104721,OLB,000000-00-0,,0.5,GALLON(S),"OIL, MISC: LUBRICATING",NO,,
1104723,OTW,000000-00-0,,70,GALLON(S),"OIL, FUEL: NO. 2",NO,,
1104724,OTD,000000-00-0,,100,GALLON(S),"OIL, FUEL: NO. 2-D",YES,100,GALLON(S)
1104725,BNZ,000071-43-2,,0,UNKNOWN AMOUNT,BENZENE,NO,,
1104725,TOL,000108-88-3,,0,UNKNOWN AMOUNT,TOLUENE,NO,,
1104725,CHX,000110-82-7,,0,UNKNOWN AMOUNT,CYCLOHEXANE,NO,,
1104726,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1104728,OTD,000000-00-0,,2,GALLON(S),"OIL, FUEL: NO. 2-D",NO,,
1104729,RAM,000000-00-0,,0,UNKNOWN AMOUNT,RADIOACTIVE MATERIAL,NO,,
1104731,AMA,007664-41-7,,34.1,POUND(S),"AMMONIA, ANHYDROUS",NO,,
