SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
1137071,OUN,000000-00-0,,200,BARREL(S),UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1137072,OWA,000000-00-0,,0,UNKNOWN AMOUNT,WASTE OIL,YES,20,GALLON(S)
1137073,ODS,000000-00-0,,0.5,PINT(S),OIL: DIESEL,YES,0.5,PINT(S)
1137075,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1137076,PRP,000000-00-0,,191.4,POUND(S),PROPANE,NO,,
1137076,HCN,000074-90-8,,22.2,POUND(S),HYDROGEN CYANIDE,NO,,
1137077,HCN,000074-90-8,,22.2,POUND(S),HYDROGEN CYANIDE,NO,,
1137077,PPL,000000-00-0,,191.4,POUND(S),PROPYLENE,NO,,
1137078,OIL,000000-00-0,,0.5,CUP(S),OIL: CRUDE,YES,0.5,CUP(S)
1137080,ODS,000000-00-0,,2500,GALLON(S),OIL: DIESEL,NO,,
1137081,GAS,000000-00-0,,0.5,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,0.25,GALLON(S)
1137083,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1137085,OIL,000000-00-0,,2.5,GALLON(S),OIL: CRUDE,YES,2.5,GALLON(S)
1137085,DZB,000000-00-0,,2.5,GALLON(S),DRILLING BRINE (WITH ZINC SALTS),YES,2.5,GALLON(S)
1137088,GAS,000000-00-0,,5,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
1137090,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1137091,NCC,000000-00-0,,0,UNKNOWN AMOUNT,GRANULAR CORN MEAL,NO,,
1137093,GAS,000000-00-0,,1,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,1,GALLON(S)
1137097,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
1137098,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
1137100,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
1137102,NCC,000000-00-0,,0,UNKNOWN AMOUNT,PAINT,YES,0,UNKNOWN AMOUNT
1137103,OMN,000000-00-0,,11,GALLON(S),"OIL, MISC: MINERAL",YES,9,GALLON(S)
1137104,NCC,000000-00-0,,0,UNKNOWN AMOUNT,WHITE PLASTIC PELLETS,NO,,
1137104,NCC,000000-00-0,,0,UNKNOWN AMOUNT,SYNTHETIC COKE,NO,,
1137105,GAS,000000-00-0,,100,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
1137106,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
1137107,OTF,000000-00-0,,22,GALLON(S),"OIL, MISC: TRANSFORMER, NON-PCB",YES,8,GALLON(S)
1137108,OMN,000000-00-0,,72,GALLON(S),"OIL, MISC: MINERAL",UNKNOWN,0,UNKNOWN AMOUNT
1137110,NCC,000000-00-0,,0,UNKNOWN AMOUNT,FERROUS OXIDE,NO,,
1137110,NCC,000000-00-0,,0,UNKNOWN AMOUNT,POTASSIUM PERMANGENATE,NO,,
1137110,NCC,000000-00-0,,0,UNKNOWN AMOUNT,COPPER OXIDE,NO,,
1137110,NCC,000000-00-0,,0,UNKNOWN AMOUNT,POTASSIUM DICHROMATE,NO,,
1137110,HPO,000000-00-0,,0,UNKNOWN AMOUNT,HYDROGEN PEROXIDE,NO,,
1137110,NCC,000000-00-0,,0,UNKNOWN AMOUNT,STRONIUM NITRATE,NO,,
1137111,PGC,000000-00-0,,30000,POUND(S),POLYPROPYLENE GLYCOL,NO,,
1137112,ODS,000000-00-0,,15,GALLON(S),OIL: DIESEL,NO,,
1137113,ONG,000000-00-0,,3.7,MIL CBF,NATURAL GAS,NO,,
1137114,OMN,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MINERAL",YES,0,UNKNOWN AMOUNT
1137115,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
1137117,OLB,000000-00-0,,5,GALLON(S),"OIL, MISC: LUBRICATING",NO,,
1137118,GAS,000000-00-0,,8,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
1137119,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,NO,,
1137120,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
1137121,DZB,000000-00-0,,1000,BARREL(S),DRILLING BRINE (WITH ZINC SALTS),YES,0,UNKNOWN AMOUNT
1137121,OUN,000000-00-0,,20,PART(S) PER MILLION,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1137122,ODS,000000-00-0,,2000,GALLON(S),OIL: DIESEL,NO,,
1137123,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1137125,ODS,000000-00-0,,5,GALLON(S),OIL: DIESEL,YES,5,GALLON(S)
1137125,OLB,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: LUBRICATING",YES,0,UNKNOWN AMOUNT
1137126,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1137127,ODS,000000-00-0,,60,GALLON(S),OIL: DIESEL,NO,,
1137128,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
1137129,OIL,000000-00-0,,2.53,GALLON(S),OIL: CRUDE,YES,2.53,GALLON(S)
1137130,NCC,000000-00-0,,0,UNKNOWN AMOUNT,RAW SEWAGE,YES,0,UNKNOWN AMOUNT
1137131,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,UNKNOWN,0,UNKNOWN AMOUNT
1137132,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1137134,OTD,000000-00-0,,10,GALLON(S),"OIL, FUEL: NO. 2-D",YES,3,CUP(S)
1137135,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1137136,OIL,000000-00-0,,0,UNKNOWN AMOUNT,OIL: CRUDE,YES,0,UNKNOWN AMOUNT
1137140,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1137141,ODS,000000-00-0,,120,GALLON(S),OIL: DIESEL,NO,,
1137141,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",NO,,
1137142,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
1137143,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1137144,GAV,000000-00-0,,1,GALLON(S),GASOLINE: AVIATION (4.86G PB/GAL),NO,,
1137145,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
1137146,ODS,000000-00-0,,200,GALLON(S),OIL: DIESEL,NO,,
1137147,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
1137147,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",YES,0,UNKNOWN AMOUNT
1137150,NCC,000000-00-0,,0,UNKNOWN AMOUNT,RAW SEWAGE,YES,0,UNKNOWN AMOUNT
1137151,ODS,000000-00-0,,30,GALLON(S),OIL: DIESEL,YES,30,GALLON(S)
1137153,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,NO,,
1137154,NCC,000000-00-0,,0,UNKNOWN AMOUNT,COAL,NO,,
1137155,OCO,000000-00-0,,1,TON(S),"OIL, EDIBLE: CORN",NO,,
1137156,NCC,000000-00-0,,5,BARREL(S),REFORMANT,YES,0,UNKNOWN AMOUNT
1137157,NCC,000000-00-0,,0.016,OUNCE(S),REFORMATE,YES,0.016,OUNCE(S)
1137158,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
1137159,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1137160,NCC,000000-00-0,,3000,GALLON(S),WASTE WATER,NO,,
1137161,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
1137163,OTF,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: TRANSFORMER",NO,,
1137164,AMA,007664-41-7,,100,POUND(S),"AMMONIA, ANHYDROUS",NO,,
1137165,OIL,000000-00-0,,5.63,GALLON(S),OIL: CRUDE,YES,5.63,GALLON(S)
1137167,OLB,000000-00-0,,1,GALLON(S),"OIL, MISC: LUBRICATING",YES,1,GALLON(S)
1137168,NCC,000000-00-0,,0,UNKNOWN AMOUNT,LIQUID MUD,YES,0,UNKNOWN AMOUNT
1137169,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1137170,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1137171,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1137173,OUN,000000-00-0,,30,GALLON(S),UNKNOWN OIL,YES,30,GALLON(S)
1137175,OTD,000000-00-0,,10,GALLON(S),"OIL, FUEL: NO. 2-D",YES,10,GALLON(S)
1137177,OUN,000000-00-0,,7,GALLON(S),UNKNOWN OIL,YES,7,GALLON(S)
1137179,GAS,000000-00-0,,2,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,2,GALLON(S)
