SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
1234320,NCC,000000-00-0,,0,UNKNOWN AMOUNT,MOLTEN SULPHUR,NO,,
1234322,BDI,000000-00-0,,0,UNKNOWN AMOUNT,"1, 3 BUTADIENE",NO,,
1234325,CMO,000000-00-0,,2484.36,POUND(S),CARBON MONOXIDE,NO,,
1234325,NCC,000000-00-0,,1244.43,POUND(S),OXIDES OF NITROGEN,NO,,
1234326,OTF,000000-00-0,,20,GALLON(S),"OIL, MISC: TRANSFORMER",YES,10,GALLON(S)
1234327,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",NO,,
1234327,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
1234328,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
1234329,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,UNKNOWN,0,UNKNOWN AMOUNT
1234330,ODS,000000-00-0,,1000,GALLON(S),OIL: DIESEL,NO,,
1234330,OLB,000000-00-0,,10,GALLON(S),"OIL, MISC: LUBRICATING",NO,,
1234330,OTH,000000-00-0,,250,GALLON(S),OTHER OIL,NO,,
1234331,BNZ,000071-43-2,,0,UNKNOWN AMOUNT,BENZENE,NO,,
1234332,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1234333,KRS,000000-00-0,,0,UNKNOWN AMOUNT,KEROSENE,YES,0,UNKNOWN AMOUNT
1234334,JPV,000000-00-0,,200,POUND(S),"JET FUEL: JP-5 (KEROSENE, HEAVY)",YES,200,POUND(S)
1234335,ODS,000000-00-0,,0,UNKNOWN AMOUNT,ON-ROAD DIESEL,YES,0,UNKNOWN AMOUNT
1234336,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1234337,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",NO,,
1234337,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
1234338,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1234339,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1234340,OTF,000000-00-0,,60,GALLON(S),"OIL, MISC: TRANSFORMER",YES,5,GALLON(S)
1234342,OTW,000000-00-0,,20,GALLON(S),"OIL, FUEL: NO. 2",YES,0,UNKNOWN AMOUNT
1234344,OTW,000000-00-0,,225,GALLON(S),"OIL, FUEL: NO. 2",NO,,
1234345,NCC,000000-00-0,,0,UNKNOWN AMOUNT,SEWAGE,NO,,
1234346,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1234347,APP,000000-00-0,,120,POUND(S),AMMONIUM PHOSPHATE,NO,,
1234349,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,UNKNOWN,0,UNKNOWN AMOUNT
1234351,OHY,000000-00-0,,1,TABLESPOON(S),HYDRAULIC FLUID,YES,1,TABLESPOON(S)
1234352,EOX,000075-21-8,,0,UNKNOWN AMOUNT,ETHYLENE OXIDE (RESIDUE),NO,,
1234352,TTE,000127-18-4,,0,UNKNOWN AMOUNT,TETRACHLOROETHYLENE (RESIDUE),NO,,
1234352,HFX,007664-39-3,,0,UNKNOWN AMOUNT,HYDROGEN FLUORIDE,NO,,
1234354,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),UNKNOWN,0,UNKNOWN AMOUNT
1234354,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",UNKNOWN,0,UNKNOWN AMOUNT
1234355,NCC,000000-00-0,,1013.32,POUND(S),OXIDES OF NITROGEN,NO,,
1234357,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1234358,NCC,000000-00-0,,0,UNKNOWN AMOUNT,MOLD,NO,,
1234361,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),YES,0,UNKNOWN AMOUNT
1234361,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
1234362,OHY,000000-00-0,,0,UNKNOWN AMOUNT,HYDRAULIC OIL,UNKNOWN,0,UNKNOWN AMOUNT
1234362,NCC,000000-00-0,,0,UNKNOWN AMOUNT,NO CHRIS CODE - PLASTIC PELLETS,UNKNOWN,0,UNKNOWN AMOUNT
