SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
999384,OLB,000000-00-0,,15,GALLON(S),"OIL, MISC: LUBRICATING",NO,,
999385,OLB,000000-00-0,,30,GALLON(S),"OIL, MISC: LUBRICATING",NO,,
999386,OHY,000000-00-0,,1,QUART(S),(HIGH SPIN BIO 46) HYDRAULIC OIL,YES,1,QUART(S)
999389,ODS,000000-00-0,,500,GALLON(S),OIL: DIESEL,NO,,
999390,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),YES,0,UNKNOWN AMOUNT
999391,OHY,000000-00-0,,0.6,OUNCE(S),HYDRAULIC OIL,YES,0.6,OUNCE(S)
999392,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
999393,NCC,000000-00-0,,0,UNKNOWN AMOUNT,STYROFOAM,YES,0,UNKNOWN AMOUNT
999394,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
999395,NCC,000000-00-0,,0,UNKNOWN AMOUNT,SEWAGE,YES,0,UNKNOWN AMOUNT
999395,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
999397,NCC,000000-00-0,,0,UNKNOWN AMOUNT,ASH,YES,0,UNKNOWN AMOUNT
999398,ODS,000000-00-0,,30,GALLON(S),OIL: DIESEL,NO,,
999399,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
999400,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
999401,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
999402,ODS,000000-00-0,,100,GALLON(S),OIL: DIESEL,YES,0.5,GALLON(S)
999403,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
999404,BNZ,000071-43-2,,15,GALLON(S),BENZENE,NO,,
999406,OIL,000000-00-0,,25,GALLON(S),OIL: CRUDE,YES,25,GALLON(S)
999408,DRM,000000-00-0,,1,QUART(S),DRILLING MUD (LOW TOXICITY),YES,1,QUART(S)
999409,ODS,000000-00-0,,1,GALLON(S),OIL: DIESEL,NO,,
999410,GAS,000000-00-0,,10,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
999411,ODS,000000-00-0,,33,GALLON(S),OIL: DIESEL,NO,,
999412,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
999413,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",UNKNOWN,0,UNKNOWN AMOUNT
999415,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,NO,,
999417,OHY,000000-00-0,,5,GALLON(S),HYDRAULIC OIL,YES,5,GALLON(S)
999418,NCC,000000-00-0,,18000,POUND(S),ALFOL 1214 ALCOHOL,NO,,
999419,ODS,000000-00-0,,100,GALLON(S),OIL: DIESEL,YES,1,GALLON(S)
999420,ODS,000000-00-0,,100,GALLON(S),OIL: DIESEL,NO,,
999421,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
999422,HDS,007783-06-4,,616,POUND(S),HYDROGEN SULFIDE,NO,,
999423,HDS,007783-06-4,,236.5,POUND(S),HYDROGEN SULFIDE,NO,,
999424,NCC,000000-00-0,,0,UNKNOWN AMOUNT,CONCRETE BLOCK,YES,0,UNKNOWN AMOUNT
999425,NCC,000000-00-0,,480,GALLON(S),"""POTW COMPLIANT WATER""",YES,480,GALLON(S)
999428,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
999429,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,UNKNOWN,0,UNKNOWN AMOUNT
999430,GAS,000000-00-0,,0,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
999431,HFX,007664-39-3,,0,UNKNOWN AMOUNT,HYDROGEN FLUORIDE,NO,,
999432,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
999434,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),YES,0,UNKNOWN AMOUNT
999435,JPE,000000-00-0,,1500,GALLON(S),JET FUEL: JP-8,YES,0,UNKNOWN AMOUNT
999436,OTD,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 2-D",NO,,
999437,MAL,000000-00-0,,1897,GALLON(S),METHYL ALCOHOL,NO,,
999438,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
999438,HCN,000074-90-8,,0,UNKNOWN AMOUNT,HYDROGEN CYANIDE,NO,,
999438,NCC,000000-00-0,,0,UNKNOWN AMOUNT,NITROGEN OXIDE,NO,,
999439,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
999441,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
999442,NCC,000000-00-0,,0,UNKNOWN AMOUNT,WASTE FROM SEPTIC SYSTEMS,YES,0,UNKNOWN AMOUNT
999442,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
999442,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,YES,0,UNKNOWN AMOUNT
999443,OLB,000000-00-0,,1,QUART(S),"OIL, MISC: LUBRICATING",NO,,
999445,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
999446,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
999447,OTF,000000-00-0,,200,GALLON(S),"OIL, MISC: TRANSFORMER",YES,100,GALLON(S)
999448,GAS,000000-00-0,,1,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
999449,BNZ,000071-43-2,,0,UNKNOWN AMOUNT,BENZENE,NO,,
999450,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
999452,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
999453,GAS,000000-00-0,,12,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,0,UNKNOWN AMOUNT
999454,BDI,000000-00-0,,200,POUND(S),BUTADIENE,NO,,
